operational_status,ref,org_id,org_name,caller_id,caller_name,team_id,team_name,agent_id,agent_name,title,description,start_date,end_date,last_update,close_date,private_log,contacts_list,functionalcis_list,workorders_list,WOrder_list,related_project_id,related_project_ref,status,impact,priority,urgency,origin,service_id,service_name,servicesubcategory_id,servicesubcategory_name,escalation_flag,escalation_reason,assignment_date,resolution_date,last_pending_date,cumulatedpending,tto,ttr,tto_escalation_deadline,sla_tto_passed,sla_tto_over,ttr_escalation_deadline,sla_ttr_passed,sla_ttr_over,time_spent,resolution_code,solution,pending_reason,parent_incident_id,parent_incident_ref,parent_problem_id,parent_problem_ref,parent_change_id,parent_change_ref,related_request_list,child_incidents_list,public_log,user_satisfaction,user_comment,cumulatedassigned,cumulated_dispatched,vendor_reference_number,priority_type,availability,department,site_name,department_name,gpg_gpn,media,site_type,service_provider,group,technician_level,document_list,lnkgrouptoticket_list,type,service_details,finalclass,friendlyname,archive_flag,archive_date,org_id_friendlyname,org_id_obsolescence_flag,caller_id_friendlyname,caller_id_obsolescence_flag,team_id_friendlyname,team_id_obsolescence_flag,agent_id_friendlyname,agent_id_obsolescence_flag,related_project_id_friendlyname,related_project_id_archive_flag,service_id_friendlyname,servicesubcategory_id_friendlyname,parent_incident_id_friendlyname,parent_incident_id_archive_flag,parent_problem_id_friendlyname,parent_problem_id_archive_flag,parent_change_id_friendlyname,parent_change_id_finalclass_recall,parent_change_id_archive_flag,department_friendlyname,department_obsolescence_flag,group_friendlyname,group_obsolescence_flag,incident_id
ongoing,I-033478,1,GPN NOC,30,Saxsena,0,,0,,Server Down,<p>The server is not responding</p>,2024-11-27 10:04:01,,2024-11-27 10:04:01,,{'entries': []},[],[],[],[],0,,new,1,4,4,phone,0,,0,,no,,,,,0,0,0,,no,,,no,,,assistance,,,0,,0,,0,,[],[],{'entries': []},1,,0,0,NA,,no,1253,TELKOM LANGERAND (SKYWIRE POP),gpn,gpn,microwave,access,skywire,8,,[],"[{'group_id': '8', 'group_name': 'ASTEL', 'start_time': '2024-11-27 10:04:01', 'end_time': '', 'total_time': '2', 'friendlyname': '8 33506', 'group_id_friendlyname': 'ASTEL', 'group_id_obsolescence_flag': ''}]",incident,,Incident,I-033478,False,,GPN NOC,,Abhishek Saxsena,,,, ,,-,,,,,,,,,,,GPN-0000,,ASTEL,,Incident::33506
ongoing,I-033477,1,GPN NOC,30,Saxsena,0,,0,,The server is not responding,<p>The server is not responding</p>,2024-11-27 09:56:15,,2024-11-27 09:56:15,,{'entries': []},[],[],[],[],0,,new,1,4,4,phone,0,,0,,no,,,,,0,0,0,,no,,,no,,,assistance,,,0,,0,,0,,[],[],{'entries': []},1,,0,0,NA,,no,1253,TELKOM LANGERAND (SKYWIRE POP),gpn,gpn,microwave,access,skywire,8,,[],"[{'group_id': '8', 'group_name': 'ASTEL', 'start_time': '2024-11-27 09:56:15', 'end_time': '', 'total_time': '2', 'friendlyname': '8 33505', 'group_id_friendlyname': 'ASTEL', 'group_id_obsolescence_flag': ''}]",incident,,Incident,I-033477,False,,GPN NOC,,Abhishek Saxsena,,,, ,,-,,,,,,,,,,,GPN-0000,,ASTEL,,Incident::33505
ongoing,I-033476,1,GPN NOC,30,Saxsena,0,,0,,I'm facing issue with iserve chatbot,<p>I'm facing issue with iserve chatbot</p>,2024-11-27 09:44:06,,2024-11-27 09:44:06,,{'entries': []},[],[],[],[],0,,new,1,4,4,phone,0,,0,,no,,,,,0,0,0,,no,,,no,,,assistance,,,0,,0,,0,,[],[],{'entries': []},1,,0,0,NA,,no,1253,TELKOM LANGERAND (SKYWIRE POP),gpn,gpn,microwave,access,skywire,8,,[],"[{'group_id': '8', 'group_name': 'ASTEL', 'start_time': '2024-11-27 09:44:06', 'end_time': '', 'total_time': '2', 'friendlyname': '8 33504', 'group_id_friendlyname': 'ASTEL', 'group_id_obsolescence_flag': ''}]",incident,,Incident,I-033476,False,,GPN NOC,,Abhishek Saxsena,,,, ,,-,,,,,,,,,,,GPN-0000,,ASTEL,,Incident::33504
ongoing,I-033475,1,GPN NOC,30,Saxsena,0,,0,,The database is down,<p>The database is down</p>,2024-11-26 13:35:14,,2024-11-26 13:35:14,,{'entries': []},[],[],[],[],0,,new,1,4,4,phone,0,,0,,no,,,,,0,0,0,,no,,,no,,,assistance,,,0,,0,,0,,[],[],{'entries': []},1,,0,0,NA,,no,1253,TELKOM LANGERAND (SKYWIRE POP),gpn,gpn,microwave,access,skywire,8,,[],"[{'group_id': '8', 'group_name': 'ASTEL', 'start_time': '2024-11-26 13:35:14', 'end_time': '', 'total_time': '2', 'friendlyname': '8 33503', 'group_id_friendlyname': 'ASTEL', 'group_id_obsolescence_flag': ''}]",incident,,Incident,I-033475,False,,GPN NOC,,Abhishek Saxsena,,,, ,,-,,,,,,,,,,,GPN-0000,,ASTEL,,Incident::33503
ongoing,I-033474,1,GPN NOC,30,Saxsena,0,,0,,The server is not responding,<p>The server is not responding</p>,2024-11-26 13:32:37,,2024-11-26 13:32:37,,{'entries': []},[],[],[],[],0,,new,1,4,4,phone,0,,0,,no,,,,,0,0,0,,no,,,no,,,assistance,,,0,,0,,0,,[],[],{'entries': []},1,,0,0,NA,,no,1253,TELKOM LANGERAND (SKYWIRE POP),gpn,gpn,microwave,access,skywire,8,,[],"[{'group_id': '8', 'group_name': 'ASTEL', 'start_time': '2024-11-26 13:32:37', 'end_time': '', 'total_time': '2', 'friendlyname': '8 33502', 'group_id_friendlyname': 'ASTEL', 'group_id_obsolescence_flag': ''}]",incident,,Incident,I-033474,False,,GPN NOC,,Abhishek Saxsena,,,, ,,-,,,,,,,,,,,GPN-0000,,ASTEL,,Incident::33502
ongoing,I-033473,1,GPN NOC,30,Saxsena,0,,0,,We can't access the website,<p>We can't access the website</p>,2024-11-26 13:26:13,,2024-11-26 13:26:13,,{'entries': []},[],[],[],[],0,,new,1,4,4,phone,0,,0,,no,,,,,0,0,0,,no,,,no,,,assistance,,,0,,0,,0,,[],[],{'entries': []},1,,0,0,NA,,no,1253,TELKOM LANGERAND (SKYWIRE POP),gpn,gpn,microwave,access,skywire,8,,[],"[{'group_id': '8', 'group_name': 'ASTEL', 'start_time': '2024-11-26 13:26:13', 'end_time': '', 'total_time': '2', 'friendlyname': '8 33501', 'group_id_friendlyname': 'ASTEL', 'group_id_obsolescence_flag': ''}]",incident,,Incident,I-033473,False,,GPN NOC,,Abhishek Saxsena,,,, ,,-,,,,,,,,,,,GPN-0000,,ASTEL,,Incident::33501
ongoing,I-033472,1,GPN NOC,30,Saxsena,0,,0,,Server Down,<p>The server is not responding</p>,2024-11-26 12:28:21,,2024-11-26 12:28:21,,{'entries': []},[],[],[],[],0,,new,1,4,4,phone,0,,0,,no,,,,,0,0,0,,no,,,no,,,assistance,,,0,,0,,0,,[],[],{'entries': []},1,,0,0,NA,,no,1253,TELKOM LANGERAND (SKYWIRE POP),gpn,gpn,microwave,access,skywire,8,,[],"[{'group_id': '8', 'group_name': 'ASTEL', 'start_time': '2024-11-26 12:28:21', 'end_time': '', 'total_time': '2', 'friendlyname': '8 33500', 'group_id_friendlyname': 'ASTEL', 'group_id_obsolescence_flag': ''}]",incident,,Incident,I-033472,False,,GPN NOC,,Abhishek Saxsena,,,, ,,-,,,,,,,,,,,GPN-0000,,ASTEL,,Incident::33500
ongoing,I-033471,1,GPN NOC,30,Saxsena,0,,0,,Server Down,<p>The server is not responding</p>,2024-11-26 08:50:14,,2024-11-26 08:50:14,,{'entries': []},[],[],[],[],0,,new,1,4,4,phone,0,,0,,no,,,,,0,0,0,,no,,,no,,,assistance,,,0,,0,,0,,[],[],{'entries': []},1,,0,0,NA,,no,1253,TELKOM LANGERAND (SKYWIRE POP),gpn,gpn,microwave,access,skywire,8,,[],"[{'group_id': '8', 'group_name': 'ASTEL', 'start_time': '2024-11-26 08:50:14', 'end_time': '', 'total_time': '2', 'friendlyname': '8 33499', 'group_id_friendlyname': 'ASTEL', 'group_id_obsolescence_flag': ''}]",incident,,Incident,I-033471,False,,GPN NOC,,Abhishek Saxsena,,,, ,,-,,,,,,,,,,,GPN-0000,,ASTEL,,Incident::33499
ongoing,I-033470,1,GPN NOC,30,Saxsena,0,,0,,Server Down,<p>The server is not responding</p>,2024-11-26 08:33:22,,2024-11-26 08:33:22,,{'entries': []},[],[],[],[],0,,new,1,4,4,phone,0,,0,,no,,,,,0,0,0,,no,,,no,,,assistance,,,0,,0,,0,,[],[],{'entries': []},1,,0,0,NA,,no,1253,TELKOM LANGERAND (SKYWIRE POP),gpn,gpn,microwave,access,skywire,8,,[],"[{'group_id': '8', 'group_name': 'ASTEL', 'start_time': '2024-11-26 08:33:22', 'end_time': '', 'total_time': '2', 'friendlyname': '8 33498', 'group_id_friendlyname': 'ASTEL', 'group_id_obsolescence_flag': ''}]",incident,,Incident,I-033470,False,,GPN NOC,,Abhishek Saxsena,,,, ,,-,,,,,,,,,,,GPN-0000,,ASTEL,,Incident::33498
ongoing,I-033469,1,GPN NOC,30,Saxsena,0,,0,,Server Down,<p>The server is not responding</p>,2024-11-26 08:31:44,,2024-11-26 08:31:44,,{'entries': []},[],[],[],[],0,,new,1,4,4,phone,0,,0,,no,,,,,0,0,0,,no,,,no,,,assistance,,,0,,0,,0,,[],[],{'entries': []},1,,0,0,NA,,no,1253,TELKOM LANGERAND (SKYWIRE POP),gpn,gpn,microwave,access,skywire,8,,[],"[{'group_id': '8', 'group_name': 'ASTEL', 'start_time': '2024-11-26 08:31:45', 'end_time': '', 'total_time': '2', 'friendlyname': '8 33497', 'group_id_friendlyname': 'ASTEL', 'group_id_obsolescence_flag': ''}]",incident,,Incident,I-033469,False,,GPN NOC,,Abhishek Saxsena,,,, ,,-,,,,,,,,,,,GPN-0000,,ASTEL,,Incident::33497
